,lead_number,activity_score,profile_score,converted
429,655772,16.0,15.0,0
430,655766,15.0,20.0,1
431,655736,13.0,16.0,0
432,655723,13.0,15.0,0
433,655719,14.0,16.0,0
434,655694,14.0,15.0,0
435,655685,14.0,18.0,0
436,655682,16.0,18.0,0
437,655666,15.0,16.0,0
438,655665,16.0,20.0,1
439,655661,15.0,13.0,0
440,655658,15.0,15.0,0
441,655639,14.0,17.0,0
442,655628,14.0,13.0,0
443,655578,15.0,18.0,1
444,655569,14.0,13.0,0
445,655557,14.0,18.0,0
446,655552,15.0,19.0,1
447,655541,15.0,15.0,1
448,655522,14.0,19.0,1
449,655520,16.0,15.0,1
450,655510,14.0,14.0,0
451,655497,14.0,18.0,0
452,655496,15.0,14.0,1
453,655492,14.0,16.0,0
454,655457,14.0,20.0,1
455,655450,14.0,15.0,0
456,655437,14.0,13.0,0
457,655429,14.0,18.0,0
458,655427,13.0,15.0,0
459,655423,15.0,19.0,1
460,655406,15.0,15.0,1
461,655405,14.0,15.0,0
462,655404,13.0,17.0,0
463,655403,13.0,15.0,0
464,655382,14.0,13.0,0
465,655379,13.0,14.0,0
466,655375,15.0,17.0,1
467,655371,13.0,18.0,0
468,655366,15.0,15.0,0
469,655360,16.0,18.0,0
470,655352,14.0,18.0,1
471,655351,15.0,15.0,0
472,655349,15.0,13.0,1
473,655342,13.0,18.0,0
474,655338,14.0,13.0,0
475,655337,15.0,19.0,1
476,655334,17.0,15.0,0
477,655323,14.0,17.0,0
478,655315,17.0,15.0,0
479,655287,12.0,15.0,0
480,655281,15.0,15.0,0
481,655277,12.0,13.0,0
482,655270,15.0,19.0,1
483,655260,16.0,16.0,0
484,655256,12.0,15.0,0
485,655241,15.0,18.0,0
486,655240,15.0,14.0,0
487,655227,14.0,15.0,0
488,655224,14.0,16.0,0
489,655211,16.0,14.0,1
490,655206,13.0,13.0,0
491,655192,14.0,18.0,0
492,655191,14.0,15.0,0
493,655175,14.0,20.0,1
494,655165,15.0,18.0,1
495,655162,13.0,18.0,0
496,655160,15.0,13.0,0
497,655159,13.0,18.0,0
498,655156,13.0,16.0,0
499,655154,14.0,14.0,0
500,655140,14.0,18.0,0
501,655134,14.0,15.0,0
502,655133,14.0,17.0,1
503,655128,14.0,15.0,0
504,655125,15.0,15.0,0
505,655122,15.0,15.0,1
506,655119,13.0,18.0,0
507,655111,14.0,15.0,1
508,655103,14.0,13.0,0
509,655091,14.0,15.0,0
510,655079,13.0,15.0,0
511,655078,14.0,13.0,0
512,655077,14.0,15.0,0
513,655075,15.0,16.0,1
514,655071,17.0,15.0,0
515,655068,14.0,13.0,0
516,655065,13.0,18.0,0
517,655061,14.0,16.0,1
518,655036,17.0,15.0,0
519,655025,15.0,15.0,1
520,655024,14.0,18.0,0
521,655021,14.0,15.0,0
522,655011,15.0,13.0,0
523,655005,13.0,18.0,0
524,654971,13.0,16.0,0
525,654968,12.0,18.0,0
526,654955,13.0,17.0,0
527,654947,17.0,15.0,0
528,654934,14.0,18.0,0
529,654918,13.0,18.0,1
530,654914,15.0,18.0,0
531,654909,15.0,15.0,1
532,654908,12.0,15.0,0
533,654894,14.0,17.0,1
534,654886,10.0,15.0,0
535,654869,15.0,18.0,1
536,654842,13.0,17.0,0
537,654831,14.0,18.0,0
538,654822,14.0,17.0,0
539,654809,14.0,17.0,0
540,654786,14.0,13.0,0
541,654724,11.0,15.0,0
542,654712,12.0,13.0,0
543,654703,13.0,15.0,0
544,654659,13.0,14.0,0
545,654613,10.0,19.0,0
546,654594,13.0,18.0,1
547,654579,13.0,13.0,0
548,654576,14.0,17.0,1
549,654574,13.0,16.0,0
550,654572,16.0,15.0,0
551,654567,13.0,15.0,1
552,654528,16.0,15.0,0
553,654525,15.0,15.0,1
554,654519,17.0,13.0,1
555,654499,13.0,15.0,0
556,654492,15.0,16.0,1
557,654491,16.0,15.0,0
558,654482,16.0,15.0,0
559,654479,13.0,18.0,0
560,654471,14.0,17.0,1
561,654469,14.0,13.0,0
562,654456,13.0,15.0,0
563,654453,15.0,17.0,1
564,654441,14.0,15.0,1
565,654434,15.0,18.0,1
566,654429,14.0,18.0,0
567,654415,14.0,15.0,0
568,654395,12.0,18.0,1
569,654393,14.0,15.0,0
570,654352,14.0,15.0,0
571,654342,14.0,15.0,0
572,654326,14.0,18.0,1
573,654319,15.0,18.0,0
574,654317,14.0,14.0,0
575,654316,15.0,16.0,0
576,654314,15.0,15.0,1
577,654291,14.0,18.0,0
578,654283,13.0,15.0,0
579,654278,18.0,15.0,0
580,654275,15.0,18.0,1
581,654254,13.0,14.0,0
582,654246,14.0,16.0,1
583,654224,14.0,15.0,0
584,654218,14.0,18.0,0
585,654173,14.0,15.0,1
586,654174,13.0,12.0,0
587,654175,13.0,15.0,0
588,654176,14.0,14.0,0
589,654177,13.0,15.0,0
590,654178,13.0,14.0,0
591,654179,13.0,14.0,0
592,654181,13.0,13.0,0
593,654182,13.0,15.0,0
594,654183,14.0,15.0,0
595,654184,14.0,13.0,0
596,654185,14.0,15.0,1
597,654186,13.0,15.0,0
598,654187,14.0,13.0,1
599,654188,14.0,15.0,0
600,654189,14.0,16.0,1
601,654190,13.0,13.0,0
602,654191,13.0,15.0,0
603,654192,13.0,15.0,0
604,654170,14.0,20.0,1
605,654167,14.0,14.0,0
606,654143,10.0,13.0,0
607,654136,15.0,14.0,1
608,654128,14.0,15.0,0
609,654123,11.0,15.0,0
610,654116,15.0,13.0,1
611,654115,14.0,18.0,1
612,654101,14.0,18.0,0
613,654099,16.0,15.0,1
614,654095,14.0,15.0,0
615,654093,13.0,15.0,0
616,654061,14.0,18.0,1
617,654051,14.0,20.0,1
618,654040,14.0,18.0,0
619,654027,15.0,16.0,1
620,654026,14.0,16.0,0
621,654022,13.0,18.0,0
622,654018,16.0,15.0,1
623,654001,14.0,19.0,1
624,653998,13.0,14.0,0
625,653992,15.0,15.0,0
626,653990,13.0,15.0,0
627,653987,14.0,13.0,0
628,653985,13.0,16.0,0
629,653978,13.0,17.0,0
630,653964,14.0,17.0,0
631,653943,14.0,17.0,1
632,653938,13.0,16.0,0
633,653934,14.0,18.0,0
634,653933,13.0,15.0,0
635,653930,14.0,15.0,0
636,653929,14.0,15.0,0
637,653924,16.0,15.0,1
638,653919,14.0,13.0,0
639,653910,14.0,19.0,1
640,653908,14.0,16.0,0
641,653903,14.0,15.0,0
642,653893,14.0,13.0,0
643,653881,14.0,15.0,1
644,653879,14.0,20.0,1
645,653874,15.0,15.0,0
646,653858,13.0,15.0,0
647,653849,14.0,18.0,1
648,653848,15.0,18.0,0
649,653836,14.0,16.0,0
650,653820,15.0,19.0,1
651,653786,14.0,13.0,1
652,653785,14.0,15.0,0
653,653783,14.0,13.0,0
654,653774,14.0,18.0,0
655,653773,14.0,15.0,0
656,653763,14.0,13.0,0
657,653761,15.0,19.0,1
658,653757,15.0,18.0,0
659,653724,15.0,15.0,1
660,653715,14.0,15.0,0
661,653696,14.0,18.0,1
662,653691,15.0,20.0,1
663,653687,16.0,20.0,1
664,653656,13.0,15.0,0
665,653652,17.0,15.0,0
666,653651,13.0,18.0,0
667,653650,14.0,20.0,1
668,653637,13.0,15.0,0
669,653635,14.0,18.0,0
670,653632,15.0,15.0,0
671,653615,16.0,15.0,1
672,653610,13.0,15.0,0
673,653593,13.0,16.0,1
674,653586,13.0,17.0,0
675,653581,15.0,18.0,1
676,653580,16.0,17.0,1
677,653569,13.0,17.0,0
678,653559,14.0,18.0,0
679,653552,15.0,20.0,1
680,653547,17.0,15.0,0
681,653527,13.0,13.0,0
682,653525,12.0,15.0,0
683,653523,16.0,15.0,1
684,653510,14.0,13.0,0
685,653502,14.0,18.0,0
686,653473,15.0,16.0,1
687,653464,14.0,13.0,0
688,653452,14.0,18.0,0
689,653449,15.0,15.0,1
690,653444,13.0,17.0,0
691,653432,14.0,16.0,0
692,653430,15.0,15.0,0
693,653415,14.0,18.0,1
694,653413,14.0,13.0,0
695,653337,14.0,18.0,0
696,653302,13.0,18.0,0
697,653297,13.0,18.0,0
698,653292,14.0,13.0,0
699,653279,14.0,15.0,0
700,653261,14.0,19.0,1
701,653259,13.0,18.0,0
702,653246,14.0,13.0,0
703,653232,14.0,15.0,0
704,653231,13.0,13.0,0
705,653222,13.0,15.0,0
706,653207,13.0,14.0,0
707,653163,14.0,16.0,0
708,653151,13.0,15.0,0
709,653120,15.0,18.0,1
710,653109,13.0,17.0,0
711,653104,14.0,15.0,0
712,653091,14.0,15.0,0
713,653082,15.0,18.0,1
714,653072,14.0,18.0,0
715,653068,15.0,16.0,1
716,653053,13.0,17.0,0
717,653049,13.0,15.0,0
718,653048,15.0,18.0,1
719,653044,15.0,17.0,0
720,653017,14.0,13.0,0
721,652987,13.0,18.0,0
722,652986,16.0,13.0,1
723,652963,14.0,18.0,0
724,652958,13.0,16.0,0
725,652948,14.0,16.0,1
726,652937,13.0,17.0,0
727,652926,14.0,18.0,1
728,652918,14.0,18.0,0
729,652913,14.0,18.0,0
730,652888,14.0,15.0,0
731,652863,14.0,17.0,1
732,652852,15.0,15.0,0
733,652828,15.0,13.0,0
734,652824,15.0,17.0,1
735,652822,14.0,18.0,0
736,652806,13.0,15.0,0
737,652801,15.0,18.0,1
738,652789,13.0,13.0,1
739,652787,14.0,20.0,1
740,652784,14.0,17.0,0
741,652782,14.0,13.0,0
742,652768,15.0,15.0,0
743,652766,14.0,13.0,0
744,652727,15.0,15.0,0
745,652725,13.0,18.0,0
746,652708,11.0,20.0,0
747,652707,14.0,18.0,1
748,652701,16.0,17.0,0
749,652698,13.0,15.0,0
750,652695,13.0,13.0,0
751,652681,16.0,14.0,1
752,652657,14.0,18.0,1
753,652655,13.0,15.0,0
754,652646,14.0,18.0,0
755,652641,14.0,15.0,0
756,652616,13.0,16.0,0
757,652610,15.0,15.0,0
758,652594,14.0,16.0,0
759,652583,13.0,13.0,0
760,652580,15.0,18.0,1
761,652569,14.0,19.0,0
762,652567,16.0,15.0,0
763,652559,14.0,15.0,0
764,652549,16.0,18.0,1
765,652531,14.0,15.0,0
766,652525,9.0,16.0,0
767,652507,18.0,15.0,0
768,652506,15.0,18.0,1
769,652500,13.0,18.0,0
770,652486,13.0,13.0,0
771,652477,14.0,15.0,0
772,652463,13.0,16.0,0
773,652462,15.0,15.0,0
774,652441,15.0,15.0,0
775,652421,15.0,18.0,0
776,652416,14.0,18.0,1
777,652410,13.0,18.0,1
778,652401,14.0,17.0,0
779,652345,14.0,15.0,0
780,652317,14.0,17.0,1
781,652314,12.0,13.0,0
782,652305,15.0,15.0,1
783,652302,14.0,18.0,0
784,652250,14.0,15.0,1
785,652227,15.0,18.0,1
786,652194,12.0,18.0,0
787,652193,14.0,17.0,0
788,652178,15.0,18.0,1
789,652174,16.0,20.0,1
790,652157,14.0,18.0,0
791,652153,14.0,15.0,0
792,652128,12.0,14.0,0
793,652108,17.0,15.0,0
794,652104,13.0,18.0,0
795,652085,14.0,18.0,1
796,652084,14.0,15.0,0
797,652080,17.0,15.0,0
798,652074,14.0,14.0,0
799,652060,15.0,20.0,1
800,652058,13.0,17.0,0
801,652050,16.0,18.0,1
802,652035,14.0,16.0,1
803,652023,11.0,14.0,0
804,652014,14.0,15.0,1
805,651993,14.0,15.0,1
806,651975,15.0,15.0,0
807,651935,15.0,19.0,1
808,651934,14.0,17.0,1
809,651930,14.0,13.0,0
810,651926,14.0,19.0,1
811,651923,14.0,15.0,0
812,651920,15.0,15.0,0
813,651910,16.0,15.0,1
814,651869,14.0,18.0,0
815,651866,13.0,18.0,0
816,651865,15.0,15.0,1
817,651857,17.0,15.0,0
818,651812,17.0,17.0,1
819,651807,16.0,18.0,1
820,651803,15.0,15.0,0
821,651801,14.0,15.0,0
822,651799,15.0,15.0,1
823,651788,10.0,15.0,0
824,651764,15.0,15.0,1
825,651760,14.0,18.0,0
826,651736,14.0,15.0,0
827,651732,14.0,18.0,0
828,651725,14.0,13.0,0
829,651722,14.0,15.0,1
830,651713,16.0,15.0,0
831,651702,13.0,14.0,1
832,651696,15.0,17.0,0
833,651680,15.0,15.0,1
834,651663,13.0,18.0,0
835,651661,15.0,17.0,1
836,651660,14.0,16.0,1
837,651642,14.0,15.0,0
838,651637,14.0,15.0,1
839,651623,14.0,19.0,1
840,651614,17.0,13.0,1
841,651611,15.0,18.0,1
842,651599,15.0,13.0,0
843,651582,15.0,15.0,1
844,651577,14.0,15.0,0
845,651570,14.0,15.0,0
846,651548,15.0,19.0,1
847,651545,14.0,18.0,0
848,651541,15.0,20.0,1
849,651531,15.0,13.0,0
850,651517,13.0,18.0,0
851,651506,14.0,15.0,1
852,651501,17.0,15.0,0
853,651477,16.0,15.0,1
854,651464,15.0,18.0,1
855,651443,14.0,15.0,1
856,651441,13.0,18.0,0
857,651431,14.0,17.0,0
858,651425,12.0,18.0,0
859,651417,15.0,14.0,1
860,651374,12.0,16.0,0
861,651363,14.0,15.0,0
862,651349,14.0,15.0,0
863,651339,15.0,13.0,0
864,651298,15.0,15.0,1
865,651297,14.0,16.0,0
866,651289,12.0,15.0,0
867,651284,13.0,15.0,0
868,651281,14.0,19.0,1
869,651277,12.0,16.0,0
870,651270,14.0,15.0,0
871,651262,13.0,16.0,0
872,651251,15.0,13.0,1
873,651250,13.0,15.0,0
874,651246,16.0,16.0,1
875,651241,13.0,16.0,0
876,651221,16.0,15.0,1
877,651199,15.0,15.0,1
878,651185,14.0,18.0,0
879,651143,12.0,15.0,0
880,651100,14.0,15.0,1
881,651094,14.0,18.0,0
882,651093,14.0,18.0,0
883,651060,13.0,18.0,0
884,651043,15.0,14.0,1
885,651037,15.0,15.0,0
886,651023,14.0,15.0,0
887,651020,14.0,19.0,1
888,650994,14.0,18.0,0
889,650970,14.0,17.0,1
890,650952,14.0,15.0,0
891,650921,15.0,16.0,1
892,650918,13.0,17.0,1
893,650907,13.0,14.0,0
894,650900,14.0,16.0,0
895,650893,13.0,18.0,0
896,650892,14.0,16.0,1
897,650877,14.0,12.0,0
898,650862,14.0,18.0,0
899,650851,15.0,16.0,1
900,650847,14.0,18.0,1
901,650820,15.0,18.0,1
902,650814,14.0,17.0,0
903,650794,13.0,18.0,0
904,650788,14.0,15.0,0
905,650770,14.0,14.0,0
906,650743,16.0,16.0,0
907,650684,16.0,18.0,1
908,650681,14.0,18.0,0
909,650678,17.0,15.0,0
910,650656,15.0,15.0,1
911,650655,14.0,15.0,0
912,650654,12.0,15.0,0
913,650646,16.0,15.0,1
914,650642,13.0,15.0,1
915,650612,13.0,17.0,0
916,650609,15.0,16.0,0
917,650591,15.0,16.0,0
918,650579,15.0,15.0,1
919,650568,11.0,20.0,0
920,650534,17.0,15.0,0
921,650514,13.0,13.0,0
922,650511,16.0,15.0,1
923,650507,16.0,15.0,1
924,650506,14.0,15.0,0
925,650504,14.0,15.0,1
926,650488,14.0,16.0,0
927,650484,17.0,15.0,0
928,650480,13.0,14.0,0
929,650459,17.0,15.0,0
