,lead_number,origin,source,no_email,converted,visits,visit_time,visit_pages,last_activity,country,specialization,hear_about,occupation,search,recommendations,quality,profile,city,activity_index,profile_index,mti_copy,modified
37,660267,Landing Page Submission,Google,0,1,5.0,563,5.0,Email Opened,India,Finance Management,Student of SomeSchool,Working Professional,0,0,Low in Relevance,Potential Lead,Mumbai,2,3,0,0
38,660255,API,Google,0,0,2.0,310,2.0,Email Link Clicked,India,Unknown,Unknown,Unemployed,0,0,Not Sure,Unknown,Unknown,2,2,0,0
39,660236,Landing Page Submission,Google,0,1,4.0,25,4.0,Email Opened,India,Operations Management,Email,Unemployed,0,0,High in Relevance,Potential Lead,Other Cities of Maharashtra,2,3,0,0
40,660235,API,Direct Traffic,0,0,3.0,342,3.0,Email Opened,India,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,0
41,660222,Landing Page Submission,Organic Search,1,0,7.0,38,7.0,Unsubscribed,India,Retail Management,Word Of Mouth,Unemployed,0,0,Not Sure,Other Leads,Mumbai,2,3,1,0
42,660215,API,Google,0,0,5.0,199,5.0,Email Opened,India,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,0
43,660203,Landing Page Submission,Google,0,0,5.0,222,5.0,Email Opened,India,Finance Management,Online Search,Unknown,0,0,Unknown,Unknown,Mumbai,2,3,0,0
44,660194,Landing Page Submission,Direct Traffic,0,0,6.0,275,3.0,Email Opened,India,Operations Management,Unknown,Unemployed,0,0,Unknown,Unknown,Mumbai,1,3,1,0
45,660180,Landing Page Submission,Google,0,0,4.0,287,2.0,Email Opened,India,Marketing Management,Other,Unemployed,0,0,Might be,Unknown,Mumbai,2,3,0,0
46,660174,Landing Page Submission,Direct Traffic,0,0,2.0,547,2.0,Email Opened,India,Finance Management,Unknown,Unemployed,0,0,High in Relevance,Potential Lead,Mumbai,2,3,1,0
47,660153,API,Olark Chat,0,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,3,2,0,1
48,660149,API,Google,0,0,6.0,1225,6.0,Page Visited on Website,India,Supply Chain Management,Unknown,Unemployed,0,0,Worst,Other Leads,Thane & Outskirts,1,2,0,1
49,660128,API,Olark Chat,0,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,3,2,0,1
50,660087,API,Olark Chat,0,1,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unemployed,0,0,Low in Relevance,Potential Lead,Thane & Outskirts,2,2,0,1
51,660070,Landing Page Submission,Google,0,0,5.0,160,5.0,Email Opened,India,Business Administration,Online Search,Unemployed,0,0,Unknown,Unknown,Mumbai,3,3,0,0
52,660069,Landing Page Submission,Organic Search,0,0,6.0,394,2.0,Unreachable,India,E-COMMERCE,Unknown,Unemployed,0,0,Might be,Unknown,Mumbai,2,2,1,1
53,660050,API,Google,0,0,6.0,286,1.5,Olark Chat Conversation,India,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,3,2,0,1
54,660048,API,Organic Search,0,0,7.0,96,2.33,Email Opened,India,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,2,2,0,0
55,660030,API,Organic Search,0,0,2.0,12,2.0,Email Opened,India,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,0
56,659998,Landing Page Submission,Referral Sites,0,1,13.0,436,9.0,Form Submitted on Website,India,IT Projects Management,Online Search,Unemployed,0,0,Low in Relevance,Potential Lead,Other Metro Cities,2,1,0,1
57,659963,API,Referral Sites,0,1,8.0,903,8.0,Page Visited on Website,India,Finance Management,Unknown,Unemployed,0,0,High in Relevance,Potential Lead,Other Cities of Maharashtra,3,2,0,0
58,659942,Landing Page Submission,Organic Search,0,0,17.0,409,8.5,Email Opened,India,Human Resource Management,Unknown,Unemployed,0,0,Unknown,Unknown,Mumbai,2,3,1,1
59,659937,Landing Page Submission,Referral Sites,0,0,11.0,685,5.5,Email Opened,India,Services Excellence,Unknown,Unemployed,0,0,Not Sure,Unknown,Thane & Outskirts,1,1,1,0
60,659931,API,Google,0,0,4.0,213,4.0,Form Submitted on Website,India,International Business,Multiple Sources,Unemployed,0,0,Not Sure,Other Leads,Mumbai,2,2,0,1
61,659925,API,Olark Chat,0,0,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,0
62,659918,API,Organic Search,0,1,7.0,1468,3.5,Page Visited on Website,India,Marketing Management,Unknown,Unemployed,0,0,High in Relevance,Potential Lead,Mumbai,2,3,0,1
63,659896,API,Olark Chat,0,0,0.0,0,0.0,Email Link Clicked,Unknown,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,2,2,0,1
64,659889,Landing Page Submission,Direct Traffic,0,1,4.0,1435,4.0,Email Opened,India,Operations Management,Unknown,Working Professional,0,0,Might be,Potential Lead,Other Cities,1,3,1,0
65,659875,Landing Page Submission,Google,0,1,1.0,157,1.0,Converted to Lead,India,Hospitality Management,Word Of Mouth,Unemployed,0,0,Might be,Unknown,Other Cities of Maharashtra,2,1,0,1
66,659853,API,Google,0,1,3.0,885,1.5,Had a Phone Conversation,India,Operations Management,Unknown,Unemployed,0,0,High in Relevance,Potential Lead,Mumbai,2,3,0,0
67,659849,API,Olark Chat,0,1,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unemployed,0,0,Low in Relevance,Potential Lead,Other Cities of Maharashtra,2,2,0,1
68,659833,API,Olark Chat,0,0,0.0,0,0.0,View in browser link Clicked,Unknown,Finance Management,Unknown,Unemployed,0,0,Low in Relevance,Other Leads,Unknown,1,1,0,1
69,659830,API,Olark Chat,0,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,1
70,659819,Landing Page Submission,Direct Traffic,0,0,1.0,1710,1.0,Converted to Lead,India,Retail Management,Unknown,Unemployed,0,0,Worst,Potential Lead,Thane & Outskirts,3,3,1,1
71,659820,Landing Page Submission,Direct Traffic,0,0,4.0,219,4.0,Email Opened,India,Business Administration,Word Of Mouth,Unemployed,0,0,Unknown,Unknown,Mumbai,2,3,0,0
72,659806,Landing Page Submission,Referral Sites,1,0,3.0,111,3.0,Email Bounced,India,International Business,Unknown,Unemployed,0,0,Not Sure,Unknown,Other Metro Cities,2,2,1,1
73,659784,API,Organic Search,0,0,6.0,224,6.0,Page Visited on Website,India,Unknown,Unknown,Unemployed,0,0,Not Sure,Unknown,Unknown,2,2,0,1
74,659782,Landing Page Submission,Direct Traffic,0,0,5.0,224,1.67,Page Visited on Website,India,Operations Management,Unknown,Unknown,0,0,Unknown,Unknown,Other Cities of Maharashtra,2,2,1,0
75,659779,Landing Page Submission,Direct Traffic,0,1,2.0,1071,2.0,Email Opened,India,Marketing Management,Unknown,Unemployed,0,0,Not Sure,Unknown,Other Cities of Maharashtra,1,2,1,0
76,659727,Landing Page Submission,Google,0,1,6.0,595,3.0,Email Opened,India,"Banking, Investment And Insurance",Word Of Mouth,Working Professional,0,0,Low in Relevance,Potential Lead,Mumbai,2,3,0,0
77,659722,Lead Add Form,Welingak Website,0,1,0.0,1096,0.0,Unknown,Unknown,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,1
78,659720,API,Referral Sites,0,0,4.0,520,4.0,Email Opened,India,Operations Management,Student of SomeSchool,Unemployed,0,0,Unknown,Unknown,Mumbai,1,2,0,0
79,659710,Lead Add Form,Reference,0,1,0.0,705,0.0,Unknown,Unknown,Hospitality Management,Unknown,Working Professional,0,0,Low in Relevance,Potential Lead,Thane & Outskirts,2,2,0,1
80,659708,API,Google,0,0,2.0,393,2.0,Email Opened,India,Unknown,Unknown,Unemployed,0,0,Not Sure,Other Leads,Unknown,2,1,0,0
81,659705,Lead Add Form,Welingak Website,0,1,0.0,346,0.0,Unknown,Unknown,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,1
82,659704,API,Olark Chat,0,1,0.0,0,0.0,Email Link Clicked,Unknown,Operations Management,Unknown,Working Professional,0,0,Might be,Potential Lead,Unknown,2,2,0,0
83,659700,API,Olark Chat,0,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,3,2,0,1
84,659696,Landing Page Submission,Google,0,1,3.0,1136,3.0,Page Visited on Website,India,IT Projects Management,Other,Unemployed,0,0,Might be,Unknown,Mumbai,3,2,0,1
85,659685,API,Referral Sites,0,0,3.0,335,3.0,Email Opened,India,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,1,0,1
86,659676,API,Referral Sites,0,0,4.0,75,4.0,Email Opened,India,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,1,0,0
87,659644,Landing Page Submission,Direct Traffic,0,0,6.0,97,3.0,Email Opened,Kuwait,Supply Chain Management,Unknown,Unknown,0,0,Unknown,Unknown,Mumbai,2,3,1,0
88,659631,Lead Add Form,Reference,0,1,0.0,1007,0.0,Unknown,Unknown,Human Resource Management,Unknown,Unemployed,0,0,High in Relevance,Lateral Student,Mumbai,2,3,0,1
89,659630,Landing Page Submission,Organic Search,0,0,2.0,1085,2.0,Converted to Lead,India,Rural and Agribusiness,Unknown,Unemployed,0,0,Unknown,Unknown,Other Cities of Maharashtra,2,1,1,1
90,659614,API,Organic Search,0,0,3.0,214,3.0,Page Visited on Website,India,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,1
91,659607,API,Olark Chat,0,1,6.0,1158,1.5,Email Opened,India,Business Administration,Unknown,Unemployed,0,0,Unknown,Unknown,Other Cities,2,1,1,0
92,659600,Landing Page Submission,Google,0,0,4.0,101,4.0,Email Opened,India,Finance Management,Other,Unknown,0,0,Unknown,Unknown,Mumbai,2,3,0,0
93,659582,Landing Page Submission,Google,0,0,9.0,838,4.5,Email Opened,India,Healthcare Management,Word Of Mouth,Unknown,0,0,Unknown,Unknown,Mumbai,2,2,0,0
94,659567,Landing Page Submission,Direct Traffic,0,0,3.0,536,3.0,Unreachable,India,Finance Management,Unknown,Unemployed,0,0,Not Sure,Unknown,Mumbai,1,3,1,1
95,659562,Landing Page Submission,Direct Traffic,0,0,4.0,161,2.0,Unreachable,India,Marketing Management,Unknown,Unemployed,0,0,Not Sure,Unknown,Unknown,1,2,0,0
96,659555,Landing Page Submission,Google,0,0,2.0,511,2.0,Form Submitted on Website,India,Healthcare Management,Student of SomeSchool,Unemployed,0,0,Unknown,Unknown,Mumbai,1,2,0,1
97,659545,API,Olark Chat,0,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,1
98,659523,API,Google,0,1,5.0,1110,5.0,Olark Chat Conversation,India,Human Resource Management,Unknown,Working Professional,0,0,Might be,Potential Lead,Unknown,3,2,0,1
99,659507,Landing Page Submission,Direct Traffic,0,1,5.0,1563,5.0,Email Opened,India,Finance Management,Unknown,Unemployed,0,0,High in Relevance,Potential Lead,Mumbai,2,3,1,0
100,659492,API,Referral Sites,0,0,7.0,1633,3.5,Converted to Lead,India,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,1,0,1
101,659480,API,Olark Chat,0,1,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,1
102,659474,Landing Page Submission,Google,0,0,12.0,809,4.0,Unreachable,India,Finance Management,Online Search,Unknown,0,0,Unknown,Unknown,Mumbai,2,3,0,1
103,659469,Landing Page Submission,Direct Traffic,0,0,2.0,638,2.0,Page Visited on Website,Oman,Healthcare Management,Unknown,Unemployed,0,0,Unknown,Unknown,Mumbai,2,2,1,1
104,659463,API,Google,0,1,5.0,1196,5.0,Page Visited on Website,India,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,1
105,659447,Landing Page Submission,Organic Search,0,0,6.0,1485,6.0,Email Opened,India,Supply Chain Management,Unknown,Unemployed,0,0,Unknown,Unknown,Other Cities,2,2,1,0
106,659438,API,Google,0,0,9.0,125,3.0,Page Visited on Website,India,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,2,2,0,1
107,659437,API,Google,0,1,3.0,165,3.0,Olark Chat Conversation,India,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,1
108,659411,Landing Page Submission,Google,0,0,6.0,398,3.0,Olark Chat Conversation,India,E-COMMERCE,Student of SomeSchool,Unknown,0,0,Unknown,Unknown,Mumbai,2,2,1,0
109,659407,API,Organic Search,0,0,3.0,570,3.0,Converted to Lead,India,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,2,2,0,1
110,659395,Landing Page Submission,Organic Search,0,1,6.0,895,6.0,Email Opened,India,Operations Management,Unknown,Unemployed,0,0,Might be,Dual Specialization Student,Other Cities of Maharashtra,2,3,1,0
111,659371,Landing Page Submission,Google,0,1,4.0,1190,4.0,Email Opened,India,Human Resource Management,Multiple Sources,Unemployed,0,0,Might be,Unknown,Mumbai,2,3,0,0
112,659369,Lead Add Form,Reference,0,1,0.0,0,0.0,Email Link Clicked,Unknown,Business Administration,Unknown,Working Professional,0,0,High in Relevance,Potential Lead,Unknown,2,3,0,0
113,659366,API,Direct Traffic,0,0,5.0,1566,5.0,Converted to Lead,India,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,1,2,0,1
114,659364,API,Google,0,1,5.0,727,5.0,Email Opened,India,Unknown,Unknown,Unemployed,0,0,High in Relevance,Dual Specialization Student,Thane & Outskirts,2,2,0,0
115,659357,Landing Page Submission,Google,0,0,8.0,652,4.0,Unreachable,India,Hospitality Management,Other,Unemployed,0,0,Unknown,Unknown,Mumbai,2,2,0,1
116,659345,API,Organic Search,0,0,4.0,1248,1.33,Email Opened,India,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,2,2,0,0
117,659334,API,Google,0,0,2.0,767,2.0,Email Opened,India,Unknown,Unknown,Unemployed,0,0,Worst,Student of SomeSchool,Unknown,2,1,0,1
118,659293,API,Referral Sites,0,0,10.0,275,3.33,Page Visited on Website,India,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,1,0,0
119,659287,API,Organic Search,0,0,3.0,273,3.0,Converted to Lead,India,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,1
120,659283,Lead Add Form,Reference,0,1,0.0,1111,0.0,Unknown,Unknown,Marketing Management,Unknown,Working Professional,0,0,Low in Relevance,Potential Lead,Other Cities,2,3,0,1
121,659281,Landing Page Submission,Google,0,0,8.0,277,4.0,Email Opened,India,Finance Management,Online Search,Unknown,0,0,Unknown,Unknown,Mumbai,2,3,0,0
122,659263,API,Organic Search,0,1,3.0,1207,1.5,Olark Chat Conversation,India,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,3,2,0,1
123,659248,API,Google,0,0,2.0,39,1.0,Converted to Lead,India,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,3,2,0,1
124,659244,Landing Page Submission,Google,0,0,4.0,1638,4.0,Email Opened,India,Finance Management,Unknown,Unemployed,0,0,Not Sure,Unknown,Mumbai,1,3,1,0
125,659241,API,Referral Sites,0,0,16.0,53,9.0,Olark Chat Conversation,India,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,2,1,0,1
126,659238,Landing Page Submission,Direct Traffic,0,0,1.0,127,1.0,Converted to Lead,India,Finance Management,Unknown,Unemployed,0,0,Unknown,Unknown,Mumbai,3,3,1,1
127,659221,Landing Page Submission,Organic Search,1,0,5.0,100,5.0,Page Visited on Website,India,Supply Chain Management,Unknown,Unemployed,0,0,Unknown,Unknown,Mumbai,2,3,1,1
128,659217,Landing Page Submission,Google,1,0,4.0,323,4.0,Unsubscribed,India,International Business,Multiple Sources,Unknown,0,0,Unknown,Unknown,Mumbai,2,3,0,0
129,659203,API,Google,0,1,2.0,160,1.0,Olark Chat Conversation,India,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,3,2,0,1
130,659191,Lead Add Form,Reference,0,1,0.0,0,0.0,Email Opened,Unknown,Marketing Management,Unknown,Businessman,0,0,High in Relevance,Potential Lead,Unknown,2,3,0,1
131,659182,API,Google,0,0,1.0,263,1.0,Converted to Lead,India,Unknown,Unknown,Unemployed,0,0,Not Sure,Other Leads,Unknown,2,1,0,1
132,659170,API,Google,0,0,2.0,1218,2.0,Olark Chat Conversation,India,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,1,2,0,1
133,659158,Lead Add Form,Reference,0,1,0.0,986,0.0,Unknown,Unknown,Marketing Management,Unknown,Working Professional,0,0,High in Relevance,Potential Lead,Unknown,2,3,0,1
134,659153,Lead Add Form,Welingak Website,0,1,0.0,889,0.0,Unknown,Unknown,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,1
135,659146,Landing Page Submission,Google,0,1,5.0,1091,5.0,Unreachable,India,Finance Management,Online Search,Unemployed,0,0,High in Relevance,Potential Lead,Mumbai,2,3,0,0
136,659142,Landing Page Submission,Direct Traffic,0,0,4.0,291,4.0,Olark Chat Conversation,India,Supply Chain Management,Unknown,Unknown,0,0,Unknown,Unknown,Other Cities,2,2,1,1
137,659141,Lead Add Form,Reference,0,1,0.0,0,0.0,Email Opened,Unknown,Hospitality Management,Unknown,Unemployed,0,0,High in Relevance,Potential Lead,Thane & Outskirts,2,2,0,1
138,659138,API,Google,1,0,1.0,1759,1.0,Olark Chat Conversation,India,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,3,2,0,0
139,659132,Landing Page Submission,Referral Sites,0,0,7.0,41,3.5,Email Opened,India,Services Excellence,Unknown,Unknown,0,0,Unknown,Unknown,Mumbai,2,1,1,0
140,659123,Landing Page Submission,Google,0,0,5.0,386,5.0,Email Opened,India,Business Administration,Online Search,Unemployed,0,0,Unknown,Unknown,Thane & Outskirts,2,2,0,1
141,659117,API,Referral Sites,0,0,6.0,216,2.0,Page Visited on Website,India,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,2,1,0,0
142,659106,Landing Page Submission,Google,0,1,5.0,1603,5.0,Email Opened,India,Operations Management,Online Search,Unemployed,0,0,High in Relevance,Potential Lead,Mumbai,2,3,0,0
143,659094,Landing Page Submission,Google,0,0,7.0,106,3.5,Page Visited on Website,India,Unknown,Multiple Sources,Unknown,0,0,Unknown,Unknown,Other Cities,2,1,0,1
144,659079,API,Google,0,0,2.0,73,2.0,Unreachable,India,Unknown,Unknown,Unemployed,0,0,Not Sure,Unknown,Unknown,1,2,0,1
145,659076,API,Google,0,0,2.0,77,2.0,Converted to Lead,Unknown,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,2,0,1
146,659074,Landing Page Submission,Direct Traffic,0,0,3.0,718,3.0,Unreachable,India,Hospitality Management,Unknown,Unknown,0,0,Unknown,Unknown,Thane & Outskirts,2,1,1,1
147,659069,Landing Page Submission,Google,0,0,5.0,432,1.67,Olark Chat Conversation,India,Marketing Management,Word Of Mouth,Unknown,0,0,Unknown,Unknown,Mumbai,2,3,0,0
148,659057,Landing Page Submission,Google,0,0,5.0,232,2.5,Email Opened,India,Human Resource Management,Online Search,Unemployed,0,0,Might be,Other Leads,Other Cities,2,2,0,0
149,659050,Landing Page Submission,Direct Traffic,0,0,2.0,702,2.0,Email Opened,India,Hospitality Management,Unknown,Unemployed,0,0,Unknown,Unknown,Other Cities,2,1,1,0
150,659038,Landing Page Submission,Organic Search,0,1,5.0,614,5.0,Unreachable,India,Finance Management,Unknown,Unemployed,0,0,Low in Relevance,Potential Lead,Thane & Outskirts,2,3,1,0
151,659036,Landing Page Submission,Direct Traffic,0,1,1.0,1808,1.0,Converted to Lead,India,IT Projects Management,Unknown,Unknown,0,0,Unknown,Unknown,Thane & Outskirts,2,1,1,1
152,659016,Landing Page Submission,Direct Traffic,1,0,2.0,234,1.0,Email Bounced,India,Finance Management,Unknown,Unemployed,0,0,Not Sure,Unknown,Mumbai,2,3,1,1
153,659013,Landing Page Submission,Direct Traffic,0,0,3.0,245,3.0,Unreachable,India,Finance Management,Unknown,Unemployed,0,0,Might be,Unknown,Thane & Outskirts,2,2,1,1
154,658983,Landing Page Submission,Organic Search,0,1,8.0,1268,4.0,Email Opened,India,Operations Management,Unknown,Unemployed,0,0,Unknown,Unknown,Mumbai,3,3,1,0
155,658976,Landing Page Submission,Google,0,0,2.0,56,2.0,Email Bounced,India,Unknown,Online Search,Unemployed,0,0,Unknown,Unknown,Mumbai,1,2,0,1
156,658932,API,Referral Sites,0,0,4.0,174,2.0,Email Link Clicked,India,Unknown,Unknown,Unemployed,0,0,Unknown,Unknown,Unknown,2,1,0,1
157,658917,Landing Page Submission,Direct Traffic,0,0,4.0,1149,2.0,Email Opened,India,Unknown,Word Of Mouth,Unemployed,0,0,Unknown,Unknown,Mumbai,2,3,0,0
